qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle	qcovs	contig_length	covered_percent	reads_number	taxaid	superkingdom	phylum	class	order	family	genus	species	new_virus	sample
k141_939	AJG39275.1	100	132	0	0	396	1	331	462	5.66E-86	279	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	397	98.9924	249	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz38
k141_9349	KM817698.1	100	103	0	0	2104	2206	4295	4397	2.50E-45	191	6574	"KM817698.1 Wuhan Mosquito Virus 2 strain QN2-7 RNA-dependent RNA polymerase (L) gene, complete cds"	100	2315	100	274	1608127	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan Mosquito Virus 2	NO	wz27
k141_928	ASA47333.1	100	113	0	0	451	113	109	221	4.54E-77	233	221	ASA47333.1 hypothetical protein [Wuhan Mosquito Virus 6]	75	451	100	2171	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz84
k141_914	APG79114.1	100	114	0	0	4	345	1	114	3.24E-73	241	1461	APG79114.1 RdRp [Hubei reo-like virus 12]	99	347	100	96	1923175	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 12	NO	wz20
k141_913	APG76669.1	100	197	0	0	591	1	1300	1496	1.25E-131	413	2943	APG76669.1 hypothetical protein [Hubei tetragnatha maxillosa virus 2] 	99	592	97.4662	82	1923244	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei tetragnatha maxillosa virus 2	NO	wz21
k141_91	AJG39275.1	100	122	0	0	6	371	1017	1138	1.44E-78	257	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	98	373	100	1990	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz106
k141_9068	APG76297.1	100	106	0	0	1	318	95	200	2.03E-73	224	301	APG76297.1 hypothetical protein 1 [Shangao tombus-like virus 1]	99	320	100	5788	1923458	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shangao tombus-like virus 1	NO	wz54
k141_9036	APG75844.1	100	119	0	0	1	357	258	376	1.57E-65	214	627	APG75844.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	359	100	1797	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz27
k141_886	APG76979.1	100	154	0	0	463	2	321	474	1.21E-99	313	1056	"APG76979.1 RNA-dependent RNA polymerase, partial [Zhejiang mosquito virus 3]"	99	463	100	213	1923779	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Zhejiang mosquito virus 3	NO	wz91
k141_876	AFO70067.1	100	249	0	0	749	3	32	280	7.79E-180	518	766	"AFO70067.1 RNA-dependent RNA polymerase, partial [Nam Dinh virus]"	99	751	100	39	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz92
k141_858	AJG39275.1	100	127	0	0	383	3	1966	2092	2.10E-68	228	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	383	100	36	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz37
k141_857	APG77439.1	100	144	0	0	433	2	180	323	1.23E-89	290	2036	APG77439.1 hypothetical protein 1 [Aphid lethal paralysis virus]	99	435	100	38	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	NO	wz18
k141_853	ASA47293.1	100	107	0	0	321	1	541	647	2.10E-62	207	785	ASA47293.1 PB2 [Wuhan Mosquito Virus 6] 	99	323	96.904	235	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz87
k141_85	AJG39094.1	100	494	0	0	1484	3	284	777	0	1001	799	AJG39094.1 PB1 [Wuhan Mosquito Virus 6]	99	1485	100	6412	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz84
k141_848	KM817659.1	100	317	0	0	1	317	10353	10037	3.45E-165	586	13706	"KM817659.1 Wuhan Mosquito Virus 9 strain JX1-13 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerases genes, complete cds"	100	317	100	58	1608134	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Wuhan Mosquito Virus 9	NO	wz81
k141_843	ASA47342.1	100	152	0	0	456	1	3583	3734	3.03E-102	326	5092	ASA47342.1 pp1ab polyprotein [Ngewotan virus]	100	456	100	43	1265748	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz85
k141_8379	AJG39136.1	100	118	0	0	354	1	1011	1128	8.71E-75	246	2085	"AJG39136.1 RNA-dependent RNA polymerase, partial [Shuangao Insect Virus 6]"	100	354	100	132	1608080	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao Insect Virus 6	NO	wz25
k141_8347	KX882764.1	100	246	0	0	1	246	1078	833	7.66E-126	455	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	246	100	893	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz74
k141_833	ASA47349.1	100	124	0	0	2	373	549	672	8.20E-83	265	950	ASA47349.1 putative protease [Hubei chryso-like virus 1]	99	375	100	122	1922855	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei chryso-like virus 1	NO	wz87
k141_830	ASO75600.1	100	111	0	0	335	3	49	159	1.65E-71	217	222	ASO75600.1 ORF3 [Biggievirus Mos11] 	99	335	100	21	1925777	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Biggievirus Mos11	NO	wz86
k141_8265	APG75844.1	100	129	0	0	387	1	208	336	1.77E-70	227	627	APG75844.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	388	100	5271	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz74
k141_8264	AB604791.1	100	235	0	0	1	235	1002	768	9.47E-120	435	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	100	235	100	1532	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz54
k141_811	APG76979.1	100	162	0	0	3	488	271	432	8.65E-107	333	1056	"APG76979.1 RNA-dependent RNA polymerase, partial [Zhejiang mosquito virus 3]"	99	488	100	26	1923779	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Zhejiang mosquito virus 3	NO	wz53
k141_810	KF771866.1	100	141	0	0	264	404	200	60	3.09E-67	261	20128	"KF771866.1 Nam Dinh virus isolate NDiV-NJ8-09, complete genome"	99	404	100	180934	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz88
k141_806	AFO70068.1	100	112	0	0	1	336	62	173	2.28E-71	231	766	"AFO70068.1 RNA-dependent RNA polymerase, partial [Nam Dinh virus]"	99	337	100	12	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz99
k141_805	ALR84812.1	100	115	0	0	346	2	532	646	1.69E-78	253	955	ALR84812.1 VP2 [Mangshi virus]	99	347	100	13	1766829	Viruses	Unassigned	Unassigned	Unassigned	Reoviridae	Seadornavirus	Mangshi virus	NO	wz39
k141_8027	KM817659.1	100	345	0	0	1	345	8816	9160	1.03E-180	638	13706	"KM817659.1 Wuhan Mosquito Virus 9 strain JX1-13 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerases genes, complete cds"	100	345	97.1014	15	1608134	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Wuhan Mosquito Virus 9	NO	wz54
k141_8	KX882764.1	100	295	0	0	1	295	1979	1685	5.42E-153	545	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	295	100	2387	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz93
k141_795	AJG39275.1	100	136	0	0	408	1	815	950	5.98E-88	285	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	100	408	100	131	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz46
k141_7942	KX882764.1	100	227	0	0	1	227	1179	953	2.55E-115	420	3094	"KX882764.1 Hubei mosquito virus 2 strain 3mos6212 segment 1 hypothetical protein 1 and RdRp genes, complete cds"	100	227	100	130	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz93
k141_7931	ABV68938.1	100	279	0	0	1	837	1383	1661	0	580	2467	ABV68938.1 nonstructural polyprotein [Getah virus]	99	838	100	38	59300	Viruses	Unassigned	Unassigned	Unassigned	Togaviridae	Alphavirus	Getah virus	NO	wz93
k141_785	APG75627.1	100	185	0	0	2	556	171	355	1.73E-118	353	627	APG75627.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	556	100	1606	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz29
k141_783	KC807170.1	100	405	0	0	1	405	12904	13308	0	749	20149	"KC807170.1 Ngewotan virus strain JKT9982, complete genome"	100	405	100	35359	1265748	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz88
k141_776	APG75628.1	100	153	0	0	461	3	14	166	1.63E-108	318	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	461	100	297	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz80
k141_7713	ACQ77592.1	100	147	0	0	3	443	53	199	3.56E-106	310	300	"ACQ77592.1 nonstructural protein, partial [Getah virus] "	99	444	100	25	59300	Viruses	Unassigned	Unassigned	Unassigned	Togaviridae	Alphavirus	Getah virus	NO	wz93
k141_76	ALR84812.1	100	110	0	0	331	2	423	532	1.16E-58	199	955	ALR84812.1 VP2 [Mangshi virus]	99	332	100	7	1766829	Viruses	Unassigned	Unassigned	Unassigned	Reoviridae	Seadornavirus	Mangshi virus	NO	wz39
k141_76	APG75628.1	100	145	0	0	435	1	88	232	4.91E-104	306	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	436	100	594	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz89
k141_7535	BAU46576.1	100	102	0	0	1	306	956	1057	1.21E-61	207	2123	BAU46576.1 RNA-dependent RNA polymerase [Culex tritaeniorhynchus rhabdovirus]	99	307	100	1761	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz26
k141_7535	APG76979.1	100	228	0	0	686	3	338	565	1.03E-156	466	1056	"APG76979.1 RNA-dependent RNA polymerase, partial [Zhejiang mosquito virus 3]"	99	686	99.8542	951	1923779	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Zhejiang mosquito virus 3	NO	wz76
k141_7532	AHG56127.1	100	221	0	0	663	1	2241	2461	7.08E-150	466	2503	AHG56127.1 ORF1a [Nam Dinh virus]	99	665	100	30	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz93
k141_746	ASA47415.1	100	134	0	0	402	1	459	592	6.85E-87	274	799	ASA47415.1 PB1 [Wuhan Mosquito Virus 6]	99	403	100	1309	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz87
k141_735	APG75628.1	100	102	0	0	1	306	46	147	1.30E-67	211	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	308	100	226	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz80
k141_734	APG75628.1	100	101	0	0	1	303	48	148	3.66E-67	210	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	100	303	100	750	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz74
k141_7117	APG75628.1	100	198	0	0	3	596	1	198	8.45E-146	414	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	597	100	3349	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz76
k141_7116	APG75628.1	100	118	0	0	354	1	150	267	6.05E-81	246	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	356	100	1927	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz76
k141_711	APG75844.1	100	148	0	0	444	1	208	355	6.13E-87	271	627	APG75844.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	445	100	2432	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz78
k141_7096	AJG39275.1	100	142	0	0	427	2	1743	1884	9.78E-93	298	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	428	100	35	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz25
k141_7085	APG75844.1	100	110	0	0	330	1	246	355	8.07E-58	193	627	APG75844.1 hypothetical protein 1 [Hubei mosquito virus 2]	100	330	100	6292	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz74
k141_7037	AJG39136.1	100	157	0	0	471	1	728	884	2.85E-104	332	2085	"AJG39136.1 RNA-dependent RNA polymerase, partial [Shuangao Insect Virus 6]"	100	471	100	28	1608080	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao Insect Virus 6	NO	wz54
k141_7022	KM817610.1	100	492	0	0	1	492	4219	3728	0	909	12004	"KM817610.1 Wuhan Mosquito Virus 8 strain XC2-7, complete genome"	99	497	100	23	1608133	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Wuhan Mosquito Virus 8	NO	wz75
k141_702	AJG39275.1	100	110	0	0	2	331	1078	1187	2.19E-70	233	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	331	100	148	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz38
k141_7018	BAU46576.1	100	227	0	0	2	682	1894	2120	1.78E-153	475	2123	BAU46576.1 RNA-dependent RNA polymerase [Culex tritaeniorhynchus rhabdovirus]	99	683	100	27965	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz26
k141_70	ASA47322.1	100	170	0	0	512	3	1120	1289	5.24E-113	358	2079	ASA47322.1 RdRp [Culex mononega-like virus 2]	99	513	100	102	2010272	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Culex mononega-like virus 2	NO	wz87
k141_6992	BAU46572.1	100	103	0	0	1	309	96	198	1.23E-67	215	472	BAU46572.1 nucleoprotein [Culex tritaeniorhynchus rhabdovirus]	99	311	81.672	19	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz26
k141_699	AB604791.1	100	301	0	0	1	301	1853	1553	2.56E-156	556	11190	"AB604791.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY"	100	301	100	301	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz81
k141_692	APG75627.1	100	220	0	0	3	662	117	336	5.69E-145	423	627	APG75627.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	662	100	2856	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz89
k141_6911	APG76979.1	100	190	0	0	3	572	285	474	2.82E-128	390	1056	"APG76979.1 RNA-dependent RNA polymerase, partial [Zhejiang mosquito virus 3]"	99	574	100	659	1923779	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Zhejiang mosquito virus 3	NO	wz76
k141_687	AJG39275.1	100	111	0	0	335	3	1345	1455	4.54E-70	232	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	337	43.0267	1	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz40
k141_687	ASA47390.1	100	100	0	0	1	300	910	1009	3.65E-60	203	1056	"ASA47390.1 RdRp, partial [Zhejiang mosquito virus 3]"	99	303	100	66	1923779	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Zhejiang mosquito virus 3	NO	wz87
k141_685	AJG39094.1	100	138	0	0	414	1	337	474	1.45E-93	291	799	AJG39094.1 PB1 [Wuhan Mosquito Virus 6]	99	415	99.759	247	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz88
k141_6803	AMW07365.2	100	197	0	0	3	593	219	415	4.72E-142	413	582	AMW07365.2 RNA-dependent RNA polymerase [Rhizoctonia solani dsRNA virus 3]	99	594	100	19	1825688	Viruses	Unassigned	Unassigned	Unassigned	Partitiviridae	Alphapartitivirus	Rhizoctonia solani dsRNA virus 3	NO	wz17
k141_667	ASA47280.1	100	396	0	0	332	1519	1	396	0	773	396	ASA47280.1 nucleoprotein [Culex phasma-like virus] 	53	2244	100	7113	2010276	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Culex phasma-like virus	NO	wz74
k141_6642	AFU81560.1	100	133	0	0	400	2	661	793	3.92E-74	245	2038	AFU81560.1 ORF1 [Aphid lethal paralysis virus]	99	402	100	8	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	NO	wz18
k141_6639	BAU46572.1	100	192	0	0	578	3	11	202	9.28E-120	352	472	BAU46572.1 nucleoprotein [Culex tritaeniorhynchus rhabdovirus]	99	578	100	7984	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	NO	wz26
k141_6614	ASA47344.1	100	127	0	0	802	422	598	724	1.53E-148	268	899	ASA47344.1 spike protein [Ngewotan virus]	99	803	100	19	1265748	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz118
k141_660	APG75628.1	100	130	0	0	2	391	222	351	4.90E-92	275	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	92	424	100	1796	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz26
k141_66	AJG39275.1	100	335	0	0	1007	3	1130	1464	0	703	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	1007	100	14488	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz105
k141_6569	APG75628.1	100	131	0	0	469	77	221	351	1.46E-92	277	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	84	469	100	8150	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz75
k141_6521	AHA43397.1	100	102	0	0	495	190	15	116	8.45E-69	209	116	AHA43397.1 putative small glycoprotein [Nam Dinh virus]	62	495	100	17	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz93
k141_6483	AJT39595.1	100	101	0	0	303	1	1396	1496	5.19E-62	209	2371	AJT39595.1 RNA-dependent RNA polymerase [Bunyaviridae environmental sample]	100	303	100	16	1628184	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Bunyaviridae environmental sample	NO	wz75
k141_6451	AHA43393.1	100	102	0	0	3	308	152	253	1.17E-51	179	2503	AHA43393.1 pp1a polyprotein [Nam Dinh virus]	99	310	100	11	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz118
k141_6442	KX882873.1	100	251	0	0	1	251	3026	2776	1.30E-128	464	3072	"KX882873.1 Hubei mosquito virus 2 strain spider133708 segment 1 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	100	251	100	776	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz76
k141_6414	ASA47342.1	100	204	0	0	3	614	3510	3713	1.62E-139	436	5092	ASA47342.1 pp1ab polyprotein [Ngewotan virus]	99	614	100	20	1265748	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz118
k141_6370	AJG39136.1	100	148	0	0	445	2	953	1100	1.21E-95	307	2085	"AJG39136.1 RNA-dependent RNA polymerase, partial [Shuangao Insect Virus 6]"	99	447	100	16	1608080	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao Insect Virus 6	NO	wz54
k141_635	AJG39275.1	100	109	0	0	327	1	627	735	4.09E-70	232	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	329	100	3383	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz106
k141_63	AJG39275.1	100	115	0	0	347	3	1438	1552	1.56E-71	236	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	349	100	138	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz40
k141_624	AJG39275.1	100	290	0	0	870	1	715	1004	0	556	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	872	100	27221	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz106
k141_6227	AHG56128.1	100	245	0	0	2	736	1761	2005	1.40E-168	520	2529	AHG56128.1 ORF1b [Nam Dinh virus]	99	736	100	53	325676	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz118
k141_609	AFJ00094.1	100	108	0	0	325	2	80	187	6.25E-75	226	229	AFJ00094.1 TGB1 [Cactus virus X] 	99	326	100	6	112227	Viruses	Unassigned	Unassigned	Tymovirales	Alphaflexiviridae	Potexvirus	Cactus virus X	NO	wz21
k141_603	ASA47404.1	100	105	0	0	316	2	248	352	2.89E-71	223	427	ASA47404.1 nucleoprotein [Culex mononega-like virus 1] 	99	316	100	10	2010271	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Culex mononega-like virus 1	NO	wz84
k141_5925	APG77725.1	100	139	0	0	1	417	876	1014	5.58E-91	291	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	78	533	100	103	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	NO	wz27
k141_5922	ASA47342.1	100	138	0	0	3	416	3597	3734	5.81E-92	296	5092	ASA47342.1 pp1ab polyprotein [Ngewotan virus]	99	416	100	12	1265748	Viruses	Unassigned	Unassigned	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1	NO	wz112
