virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
554168	Acanthamoeba castellanii mamavirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; unclassified Mimiviridae	JF801956	NA	NA	NA	5755	Acanthamoeba castellanii	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba	NA	NA	NA	NA
212035	Acanthamoeba polyphaga mimivirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus	NC_014649	NA	NA	NA	5755	Acanthamoeba castellanii	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba	NA	RefSeq	NA	NA
212035	Acanthamoeba polyphaga mimivirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus	NC_014649	NA	NA	NA	5757	Acanthamoeba polyphaga	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba	NA	UniProt	NA	NA
1269028	Acanthamoeba polyphaga moumouvirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; unclassified Mimiviridae; Moumouvirus	NC_020104	NA	NA	NA	5757	Acanthamoeba polyphaga	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba	NA	RefSeq	NA	NA
322019	Acanthocystis turfacea chlorella virus 1	Viruses; dsDNA viruses, no RNA stage; Phycodnaviridae; Chlorovirus	NC_008724	NA	NA	NA	554066	Chlorella heliozoae	Eukaryota; Viridiplantae; Chlorophyta; Trebouxiophyceae; Chlorellales; Chlorellaceae; Chlorella	17276475	Literature, RefSeq	NA	NA
1168547	Acartia tonsa copepod circovirus	Viruses; ssDNA viruses; Circoviridae; Circovirus; unclassified Circovirus	NC_020099	NA	NA	NA	136180	Acartia tonsa	Eukaryota; Metazoa; Arthropoda; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Acartiidae; Acartia	NA	RefSeq	NA	NA
185639	Acheta domestica densovirus	Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Ambidensovirus; Orthopteran ambidensovirus 1	NC_004290	NA	NA	NA	6997	Acheta domesticus	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae; Acheta	21775445	Literature	NA	NA
1404345	Acheta domestica mini ambidensovirus	Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Orthopteran densovirus 1	NC_022564	NA	NA	NA	6994	Ensifera	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera	NA	RefSeq	NA	NA
1404345	Acheta domestica mini ambidensovirus	Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Orthopteran densovirus 1	NC_022564	NA	NA	NA	6995	Gryllidae	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea	NA	RefSeq	NA	NA
1291515	Acheta domesticus volvovirus	Viruses; ssDNA viruses; unclassified ssDNA viruses	NC_021074	NA	NA	NA	6997	Acheta domesticus	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae; Acheta	NA	RefSeq	NA	NA
1261100	Achimota virus 1	Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Rubulavirus; Achimota rubulavirus 1	NC_025403	NA	NA	NA	77214	Eidolon helvum	Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon	NA	RefSeq	NA	NA
1261101	Achimota virus 2	Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Rubulavirus; Achimota rubulavirus 2	NC_025404	NA	NA	NA	77214	Eidolon helvum	Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon	NA	RefSeq	NA	NA
10876	Acholeplasma phage MV-L1	Viruses; ssDNA viruses; Inoviridae; Plectrovirus; Acholeplasma virus MV-L51	NC_001341	NA	NA	NA	2148	Acholeplasma laidlawii	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	NA	RefSeq	NA	NA
46014	Acholeplasma virus L2	Viruses; dsDNA viruses, no RNA stage; Plasmaviridae; Plasmavirus	NC_001447	NA	NA	NA	2148	Acholeplasma laidlawii	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	3573152, 8163159	Literature, RefSeq	NA	NA
1589747	Achromobacter phage 83-24	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Jwxvirus; Achromobacter virus 83-24	NC_028834	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	24466294	Literature, RefSeq	NA	NA
1416009	Achromobacter phage JWAlpha	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus	NC_023556	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	NA	RefSeq	NA	NA
1416008	Achromobacter phage JWDelta	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus; Achromobacter phage JWAlpha	KF787094	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	NA	RefSeq	NA	NA
1589748	Achromobacter phage JWF	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029075	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	NA	RefSeq	NA	NA
1589746	Achromobacter phage JWX	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Jwxvirus; Achromobacter virus JWX	NC_028768	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	24466294	Literature, RefSeq	NA	NA
1610509	Achromobacter phage phiAxp-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029033	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	26908262	Literature, RefSeq	NA	NA
1664246	Achromobacter phage phiAxp-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029106	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	NA	RefSeq	NA	NA
1664247	Achromobacter phage phiAxp-3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus	NC_028908	NA	NA	NA	85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	NA	RefSeq	NA	NA
437444	Acidianus bottle-shaped virus	Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus	NC_009452	NA	NA	NA	269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq, UniProt	NA	NA
1732173	Acidianus bottle-shaped virus 2	Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus; unclassified Ampullavirus	NC_028938	NA	NA	NA	2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei	26439881	Literature, RefSeq	NA	NA
1732174	Acidianus bottle-shaped virus 3	Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus; unclassified Ampullavirus	NC_028787	NA	NA	NA	2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei	26439881	Literature, RefSeq	NA	NA
235266	Acidianus filamentous virus 1	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus	NC_005830	NA	NA	NA	12915	Acidianus infernus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq, UniProt	NA	NA
235266	Acidianus filamentous virus 1	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus	NC_005830	NA	NA	NA	563177	Acidianus hospitalis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	UniProt	NA	NA
300186	Acidianus filamentous virus 2	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus	NC_009884	NA	NA	NA	314564	Acidianus pozzuoliensis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
300186	Acidianus filamentous virus 2	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus	NC_009884	NA	NA	NA	315458	Acidianus sp. F28	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	UniProt	NA	NA
346881	Acidianus filamentous virus 3	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010155	NA	NA	NA	12914	Acidianus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae	NA	NA	NA	NA
346882	Acidianus filamentous virus 6	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010152	NA	NA	NA	269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
346883	Acidianus filamentous virus 7	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010153	NA	NA	NA	269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
346884	Acidianus filamentous virus 8	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010154	NA	NA	NA	269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
512792	Acidianus filamentous virus 9	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010537	NA	NA	NA	518068	Acidianus uzoniensis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
309181	Acidianus rod-shaped virus 1	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Rudiviridae; Rudivirus	NC_009965	NA	NA	NA	315460	Acidianus sp. Acii26	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
1732175	Acidianus rod-shaped virus 2	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Rudiviridae; Rudivirus; unclassified Rudivirus	NC_029314	NA	NA	NA	2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei	NA	RefSeq	NA	NA
693629	Acidianus spindle-shaped virus 1	Viruses; dsDNA viruses, no RNA stage; Fuselloviridae; Betafusellovirus	NC_013585	NA	NA	NA	41673	Acidianus brierleyi	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
1797140	Acidianus tailed spindle virus	Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; unclassified Bicaudaviridae	NC_029316	NA	NA	NA	1872104	Acidianus sp.	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq	NA	NA
315953	Acidianus two-tailed virus	Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; Bicaudavirus	NC_007409	NA	NA	NA	269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	NA	RefSeq, UniProt	NA	NA
1229761	Acidithiobacillus phage AcaML1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	JX507079	NA	NA	NA	637389	Acidithiobacillus caldus ATCC 51756	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus	NA	RefSeq	NA	NA
889876	Acinetobacter phage AB1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; Acinetobacter virus AB1	HM368260	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1273713	Acinetobacter phage AB3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus AB3	NC_021337	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	NA	NA	NA
1235824	Acinetobacter phage Abp1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus Abp1	NC_021316	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
762660	Acinetobacter phage Ac42	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus	NC_014660	NA	NA	NA	469	Acinetobacter	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae	21029436	Literature	NA	NA
760732	Acinetobacter phage Acj61	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus	NC_014661	NA	NA	NA	40214	Acinetobacter johnsonii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	21029436	Literature, RefSeq	NA	NA
760939	Acinetobacter phage Acj9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus	NC_014663	NA	NA	NA	40214	Acinetobacter johnsonii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	21029436	Literature, RefSeq	NA	NA
154784	Acinetobacter phage AP205	Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Levivirus; unclassified Levivirus	NC_002700	NA	NA	NA	70347	Acinetobacter genomosp. 16BJ	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	NA	RefSeq	NA	NA
1187128	Acinetobacter phage AP22	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; Acinetobacter virus AP22	NC_017984	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1221835	Acinetobacter phage Bphi-B1251	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae	NC_019541	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1647373	Acinetobacter phage Fri1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus Fri1	NC_028848	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1243183	Acinetobacter phage IME-AB2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; Acinetobacter virus AB2	JX976549	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1735582	Acinetobacter phage IME200	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus IME200	NC_028987	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1458669	Acinetobacter phage IME_AB3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_023590	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1792222	Acinetobacter phage LZ35	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; unclassified Ap22virus	NC_031117	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1406779	Acinetobacter phage Petty	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; unclassified Fri1virus	NC_023570	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
691318	Acinetobacter phage phiAB1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus phiAB1	NC_028675	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1698439	Acinetobacter phage phiAB6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; unclassified Fri1virus	NC_031086	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1229760	Acinetobacter phage phiAC-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; unclassified Ap22virus	NC_028995	NA	NA	NA	487316	Acinetobacter soli	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	NA	RefSeq	NA	NA
1406780	Acinetobacter phage Presley	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus	NC_023581	NA	NA	NA	1343071	Acinetobacter nosocomialis M2	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1481186	Acinetobacter phage vB_AbaM_Acibel004	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_025462	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1605379	Acinetobacter phage vB_AbaM_phiAbaA1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_031280	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
1481187	Acinetobacter phage vB_AbaP_Acibel007	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; unclassified Fri1virus	NC_025457	NA	NA	NA	470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	RefSeq	NA	NA
