qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle	qcovs	contig_length	covered_percent	reads_number	taxaid	superkingdom	phylum	class	order	family	genus	species	sample
k141_7692	APG79142.1	100	121	0	0	363	1	973	1093	1.28E-74	246	1359	APG79142.1 RNA-dependent RNA polymerase [Hubei reo-like virus 2]	99	365	100	18	1923177	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 2	km47
k141_7569	APF29055.1	100	130	0	0	391	2	210	339	8.88E-92	276	425	APF29055.1 N protein [Menghai rhabdovirus]	99	391	81.0742	20	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km47
k141_752	KX883310.1	100	375	0	0	8	382	8248	7874	0	693	8729	"KX883310.1 Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	98	383	100	32	1922624	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Beihai picorna-like virus 77	km4
k141_7169	APG77726.1	100	109	0	0	2	328	98	206	2.15E-61	191	217	APG77726.1 hypothetical protein [Hubei macula-like virus 3]	99	328	100	587	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km58
k141_7161	APG75628.1	100	154	0	0	1	462	42	195	2.25E-109	320	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	463	99.784	146	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	km48
k141_7111	APQ44489.1	100	104	0	0	313	2	2350	2453	1.95E-65	218	2832	APQ44489.1 polyprotein [Basavirus sp.]	99	313	100	7	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km102
k141_6996	BAB20816.1	100	124	0	0	373	2	1435	1558	1.04E-70	234	3432	BAB20816.1 viral protein [Japanese encephalitis virus]	99	374	100	20	11072	Viruses	Unassigned	Unassigned	Unassigned	Flaviviridae	Flavivirus	Japanese encephalitis virus	km48
k141_6929	MF795135.1	100	203	0	0	1	203	303	101	7.75E-102	375	9714	"MF795135.1 Aphid lethal paralysis virus isolate SX, complete genome"	88	303	100	15	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km15
k141_6867	APQ44489.1	100	143	0	0	1	429	578	720	3.77E-93	300	2832	APQ44489.1 polyprotein [Basavirus sp.]	99	431	100	22	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km100
k141_6804	APG79142.1	100	127	0	0	1	381	562	688	3.67E-81	264	1359	APG79142.1 RNA-dependent RNA polymerase [Hubei reo-like virus 2]	100	381	100	12	1923177	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 2	km47
k141_665	APQ44491.1	100	106	0	0	2	319	1814	1919	6.65E-70	231	2832	APQ44491.1 polyprotein [Basavirus sp.]	99	321	100	17	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km67
k141_6587	AKH67058.1	100	160	0	0	254	733	3	162	1.80E-111	332	162	"AKH67058.1 hypothetical protein, partial [Galbut virus]"	31	1563	100	2047	1654579	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Galbut virus	km23
k141_6404	BAU46576.1	100	181	0	0	1	543	1943	2123	2.46E-120	380	2123	BAU46576.1 RNA-dependent RNA polymerase [Culex tritaeniorhynchus rhabdovirus]	96	567	100	51	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	km47
k141_6289	APG77725.1	100	156	0	0	2	469	859	1014	7.00E-105	330	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	67	702	100	70	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km14
k141_6214	AJG39286.1	100	118	0	0	356	3	688	805	2.42E-76	249	1053	AJG39286.1 glycoprotein precursor [Shuangao Insect Virus 3]	99	358	100	12	1608077	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Shuangao Insect Virus 3	km12
k141_615	APQ44489.1	100	121	0	0	2	364	2005	2125	1.13E-75	249	2832	APQ44489.1 polyprotein [Basavirus sp.]	99	366	100	18	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km67
k141_5983	APQ44489.1	100	140	0	0	2	421	587	726	1.67E-90	292	2832	APQ44489.1 polyprotein [Basavirus sp.]	99	423	100	22	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km24
k141_5930	API61901.1	100	280	0	0	842	3	1341	1620	0	577	2288	"API61901.1 replicase large subunit, partial [Biggievirus Mos11]"	99	843	100	86	1925777	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Biggievirus Mos11	km23
k141_59	APG77458.1	100	152	0	0	456	1	1467	1618	1.10E-101	325	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	90	505	99.604	392	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_5830	APG77458.1	100	190	0	0	2	571	1350	1539	4.27E-115	365	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	99	572	99.1259	127	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km57
k141_5792	APG78421.1	100	135	0	0	407	3	1535	1669	1.96E-90	291	2046	APG78421.1 hypothetical protein 1 [Aphid lethal paralysis virus]	99	409	100	11	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km103
k141_5786	APG79142.1	100	224	0	0	672	1	697	920	2.98E-132	409	1359	APG79142.1 RNA-dependent RNA polymerase [Hubei reo-like virus 2]	99	674	100	16	1923177	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 2	km47
k141_5715	APG77458.1	100	163	0	0	2	490	1326	1488	6.43E-95	306	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	99	492	100	961	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_5512	APQ44495.1	100	208	0	0	625	2	398	605	8.63E-135	422	2821	APQ44495.1 polyprotein [Basavirus sp.]	99	625	100	97	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km47
k141_5385	KX883691.1	100	359	0	0	7	365	8064	7706	0	664	9795	"KX883691.1 Hubei picorna-like virus 55 strain spider134013 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	98	365	100	14	1923137	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei picorna-like virus 55	km102
k141_5351	APG77726.1	100	108	0	0	326	3	98	205	1.15E-60	189	217	APG77726.1 hypothetical protein [Hubei macula-like virus 3]	99	327	100	1054	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km58
k141_5185	APG75628.1	100	116	0	0	348	1	221	336	2.28E-81	247	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	100	348	95.1149	37	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	km47
k141_5158	AJG39275.1	100	100	0	0	301	2	1760	1859	8.17E-64	214	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	303	100	6	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	km121
k141_5103	APG75628.1	100	166	0	0	1	498	186	351	4.16E-120	348	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	87	573	98.0803	211	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	km48
k141_5082	APG77725.1	100	160	0	0	2	481	693	852	9.49E-110	340	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	481	100	25565	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km23
k141_5003	APG78162.1	100	430	0	0	1291	2	26	455	0	898	544	APG78162.1 RdRp [Hubei partiti-like virus 3] 	99	1292	100	357	1923037	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei partiti-like virus 3	km94
k141_474	AJG39286.1	100	111	0	0	3	335	893	1003	3.59E-68	226	1053	AJG39286.1 glycoprotein precursor [Shuangao Insect Virus 3]	99	335	100	10	1608077	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Shuangao Insect Virus 3	km58
k141_4689	AHN55092.1	100	139	0	0	3	419	58	196	4.05E-98	285	199	"AHN55092.1 nonstructural polyprotein, partial [Rhopalosiphum padi virus] "	99	419	100	33	66834	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Rhopalosiphum padi virus	km33
k141_4564	APF29055.1	100	214	0	0	1	642	179	392	2.09E-159	452	425	APF29055.1 N protein [Menghai rhabdovirus]	99	643	100	140	1919071	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Menghai rhabdovirus	km47
k141_4538	APG79142.1	100	209	0	0	629	3	1141	1349	1.33E-128	398	1359	APG79142.1 RNA-dependent RNA polymerase [Hubei reo-like virus 2]	99	631	100	32	1923177	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 2	km47
k141_4504	APQ44491.1	100	111	0	0	3	335	537	647	1.18E-69	231	2832	APQ44491.1 polyprotein [Basavirus sp.]	99	337	100	10	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km65
k141_4409	AFH96035.1	100	126	0	0	3	380	1225	1350	5.36E-84	273	2251	AFH96035.1 RNA-dependent RNA polymerase [Akabane virus]	99	380	100	13	70566	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Akabane orthobunyavirus	km50
k141_4176	APG77725.1	100	177	0	0	2	532	838	1014	3.48E-117	369	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	45	1176	100	130	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km15
k141_4123	APG77439.1	100	254	0	0	2	763	70	323	1.63E-169	520	2036	APG77439.1 hypothetical protein 1 [Aphid lethal paralysis virus]	99	763	100	51	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km13
k141_4052	APG77458.1	100	195	0	0	2	586	2495	2689	6.38E-131	410	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	99	587	100	413	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_3915	APG77458.1	100	301	0	0	2	904	1912	2212	0	633	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	99	904	99.8894	334	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km57
k141_3886	AJG39091.1	100	146	0	0	2	439	58	203	1.73E-102	315	796	AJG39091.1 PB1 [Wuhan Mosquito Virus 3]	99	439	100	38	1608128	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 3	km49
k141_3840	AAS75432.1	100	129	0	0	387	1	50	178	1.23E-87	262	319	"AAS75432.1 replicase, partial [Tobacco mosaic virus]"	99	388	100	10	12242	Viruses	Unassigned	Unassigned	Unassigned	Virgaviridae	Tobamovirus	Tobacco mosaic virus	km64
k141_3770	AMO03256.1	100	127	0	0	383	3	223	349	3.88E-81	265	2705	AMO03256.1 putative polyprotein [Bofa virus]	99	384	92.4479	2366	1807762	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Bofa virus	km110
k141_3759	KU754515.1	100	139	0	0	2	140	3909	3771	2.71E-66	257	10726	"KU754515.1 Bofa virus putative polyprotein and hypothetical protein genes, complete cds"	99	283	54.417	16	1807762	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Bofa virus	km110
k141_3584	APQ44495.1	100	217	0	0	3	653	1947	2163	1.17E-143	448	2821	APQ44495.1 polyprotein [Basavirus sp.]	99	654	100	119	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km13
k141_3559	APG75628.1	100	310	0	0	1	930	42	351	0	644	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	97	963	100	140	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	km50
k141_3504	AJG39275.1	100	105	0	0	316	2	1644	1748	2.82E-63	212	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	317	100	16	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	km33
k141_3483	AJG39091.1	100	162	0	0	488	3	299	460	2.91E-112	341	796	AJG39091.1 PB1 [Wuhan Mosquito Virus 3]	99	489	100	26	1608128	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 3	km49
k141_3377	AJG39094.1	100	143	0	0	1	429	414	556	2.05E-95	296	799	AJG39094.1 PB1 [Wuhan Mosquito Virus 6]	100	429	100	26	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	km24
k141_3343	KY052857.1	100	353	0	0	2	354	2589	2941	0	652	50534	KY052857.1 Uncultured virus clone vSAG-92-D16 genomic sequence	99	354	100	15	340016	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	uncultured virus	km113
k141_3315	CCH64132.1	100	127	0	0	382	2	83	209	1.81E-89	286	1116	CCH64132.1 replication protein [Tobacco mosaic virus]	99	382	100	22	12242	Viruses	Unassigned	Unassigned	Unassigned	Virgaviridae	Tobamovirus	Tobacco mosaic virus	km64
k141_3193	CCH64077.1	100	135	0	0	406	2	1	135	4.27E-80	238	159	CCH64077.1 coat protein [Tobacco mosaic virus] 	91	445	100	25	12242	Viruses	Unassigned	Unassigned	Unassigned	Virgaviridae	Tobamovirus	Tobacco mosaic virus	km64
k141_3093	AKH67058.1	100	160	0	0	1316	837	3	162	1.91E-111	332	162	"AKH67058.1 hypothetical protein, partial [Galbut virus]"	31	1570	100	3297	1654579	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Galbut virus	km64
k141_2992	API61901.1	100	212	0	0	1	636	683	894	1.12E-129	408	2288	"API61901.1 replicase large subunit, partial [Biggievirus Mos11]"	99	637	100	71	1925777	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Biggievirus Mos11	km23
k141_2929	ATJ04556.1	100	172	0	0	2	517	1371	1542	4.84E-115	364	2036	ATJ04556.1 non-structural polyprotein [Aphid lethal paralysis virus]	99	518	100	21	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km34
k141_2897	KR902718.1	100	132	0	0	318	449	940	1071	3.48E-62	244	1940	"KR902718.1 Shuangao insect virus 7 strain SKC segment 2, complete sequence"	100	449	100	19	1746063	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Shuangao insect virus 7	km4
k141_2885	AMH41168.1	100	104	0	0	3	314	1682	1785	8.05E-68	225	2036	AMH41168.1 nonstructural polyprotein [Aphid lethal paralysis virus]	99	314	100	13	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km14
k141_2828	KX673235.1	100	309	0	0	1	309	8756	9064	9.51E-161	571	9064	"KX673235.1 Basavirus sp. isolate 16715_61_2, complete genome"	99	312	100	37	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km67
k141_2787	APG77725.1	100	121	0	0	1	363	184	304	1.03E-78	255	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	99	364	100	6	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km47
k141_2662	KY052857.1	100	323	0	0	1	323	44865	44543	1.63E-168	597	50534	KY052857.1 Uncultured virus clone vSAG-92-D16 genomic sequence	100	323	100	10	340016	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	uncultured virus	km113
k141_2656	APG77458.1	100	115	0	0	2	346	1257	1371	2.95E-73	241	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	99	346	100	2120	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_2653	AKP63313.1	100	426	0	0	1280	3	782	1207	0	839	2251	AKP63313.1 polymerase [Akabane virus] 	99	1281	100	88	70566	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Akabane orthobunyavirus	km33
k141_2648	APG77458.1	100	119	0	0	359	3	1776	1894	7.65E-76	249	2823	APG77458.1 hypothetical protein [Hubei arthropod virus 1]	99	359	97.2145	916	1922835	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei arthropod virus 1	km58
k141_2584	APQ44495.1	100	160	0	0	2	481	625	784	6.73E-106	337	2821	APQ44495.1 polyprotein [Basavirus sp.]	99	481	100	54	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km47
k141_2510	APG78041.1	100	238	0	0	3	716	875	1112	1.26E-147	459	2043	APG78041.1 hypothetical protein 2 [Drosophila immigrans Nora virus]	99	718	100	245	1500866	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Drosophila immigrans Nora virus	km107
k141_2417	APG77968.1	100	116	0	0	348	1	1546	1661	2.59E-76	250	2036	APG77968.1 hypothetical protein 1 [Aphid lethal paralysis virus]	99	349	100	6	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km34
k141_2381	APG75844.1	100	118	0	0	356	3	509	626	2.06E-33	127	627	APG75844.1 hypothetical protein 1 [Hubei mosquito virus 2]	99	356	100	167	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	km100
k141_236	KX883310.1	100	371	0	0	1	371	4802	4432	0	686	8729	"KX883310.1 Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	100	371	100	38	1922624	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Beihai picorna-like virus 77	km12
k141_2258	CAC84101.1	100	108	0	0	1	324	334	441	8.23E-71	227	638	"CAC84101.1 polyprotein, partial [Sugarcane mosaic virus] "	99	326	100	11	12224	Viruses	Unassigned	Unassigned	Unassigned	Potyviridae	Potyvirus	Sugarcane mosaic virus	km34
k141_2210	AMO03256.1	100	101	0	0	3	305	175	275	1.57E-62	212	2705	AMO03256.1 putative polyprotein [Bofa virus]	99	426	100	28	1807762	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Bofa virus	km108
k141_2152	AMH41168.1	100	132	0	0	397	2	406	537	2.87E-84	274	2036	AMH41168.1 nonstructural polyprotein [Aphid lethal paralysis virus]	99	397	100	21	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km34
k141_2138	KX883310.1	100	519	0	0	1	519	5548	6066	0	959	8729	"KX883310.1 Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"	100	519	100	50	1922624	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Beihai picorna-like virus 77	km4
k141_2118	APG77725.1	100	169	0	0	561	55	846	1014	1.01E-114	354	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	90	562	100	40	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km33
k141_2095	AJG39286.1	100	109	0	0	1	327	690	798	5.17E-70	231	1053	AJG39286.1 glycoprotein precursor [Shuangao Insect Virus 3]	99	329	100	6	1608077	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Shuangao Insect Virus 3	km58
k141_2028	AJG39286.1	100	124	0	0	3	374	839	962	2.76E-75	246	1053	AJG39286.1 glycoprotein precursor [Shuangao Insect Virus 3]	99	374	100	22	1608077	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Shuangao Insect Virus 3	km119
k141_2025	KX673230.1	100	301	0	0	1	301	4431	4731	2.56E-156	556	8776	"KX673230.1 Basavirus sp. isolate 16715_5, complete genome"	100	301	96.6777	113	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km67
k141_1995	AMH41168.1	100	569	0	0	2	1708	235	803	0	1145	2036	AMH41168.1 nonstructural polyprotein [Aphid lethal paralysis virus]	99	1710	100	128	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km30
k141_1963	APG78046.1	100	101	0	0	3	305	9	109	2.75E-60	204	1804	APG78046.1 hypothetical protein 1 [Aphid lethal paralysis virus]	99	306	100	20	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km34
k141_1944	APG78043.1	100	179	0	0	537	1	103	281	2.34E-123	374	938	APG78043.1 hypothetical protein 4 [Drosophila immigrans Nora virus]	99	539	100	49	1500866	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Drosophila immigrans Nora virus	km107
k141_1876	APG78041.1	100	110	0	0	2	331	1230	1339	1.68E-69	230	2043	APG78041.1 hypothetical protein 2 [Drosophila immigrans Nora virus]	99	333	100	12	1500866	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Drosophila immigrans Nora virus	km107
k141_1809	AMH41168.1	100	143	0	0	1	429	1553	1695	6.58E-96	308	2036	AMH41168.1 nonstructural polyprotein [Aphid lethal paralysis virus]	100	429	77.8555	51	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km31
k141_180	APQ44489.1	100	155	0	0	2	466	1616	1770	1.87E-104	333	2832	APQ44489.1 polyprotein [Basavirus sp.]	99	466	100	14	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km104
k141_17592	APG78421.1	100	166	0	0	499	2	1630	1795	1.15E-112	357	2046	APG78421.1 hypothetical protein 1 [Aphid lethal paralysis virus]	99	500	100	25	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km23
k141_1688	APQ44489.1	100	273	0	0	19	837	1209	1481	0	566	2832	APQ44489.1 polyprotein [Basavirus sp.]	98	839	100	30	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km100
k141_1666	ASZ83552.1	100	190	0	0	2	571	403	592	6.01E-136	398	617	ASZ83552.1 putative RNA-dependent RNA polymerase [Rhizoctonia solani partitivirus virus 3]	99	572	100	37	2034993	Viruses	Unassigned	Unassigned	Unassigned	Partitiviridae	Unassigned	Rhizoctonia solani partitivirus virus 3	km2
k141_16524	API61902.1	100	141	0	0	425	3	15	155	4.96E-99	298	408	API61902.1 hypothetical protein [Biggievirus Mos11]	67	629	100	87	1925777	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Biggievirus Mos11	km23
k141_1635	APQ44495.1	100	273	0	0	1	819	1891	2163	0	562	2821	APQ44495.1 polyprotein [Basavirus sp.]	99	821	100	91	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km12
k141_1551	APG77725.1	100	175	0	0	579	55	840	1014	1.60E-118	364	1022	"APG77725.1 hypothetical protein, partial [Hubei macula-like virus 3]"	90	581	100	50	1922924	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei macula-like virus 3	km34
k141_15506	ASA47292.1	100	129	0	0	388	2	1111	1239	8.79E-83	270	2079	ASA47292.1 RdRp [Culex mononega-like virus 2]	99	389	100	15	2010272	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Culex mononega-like virus 2	km24
